id,name,party,sector,type
UVL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
SW,Sahra Wagenknecht,LEFT,Politik,1
CS,Constanze Stelzenmüller,NA,Recht,1
CL,Christian Lindner,FDP,Politik,1
NR,Norbert Röttgen,CDU,Politik,1
KS,Karl Schlögel,NA,Geschichte,1
LM,Ljudmyla Melnyk,NA,Wissenschaft,2
KS,Kristina Dunz,NA,Journalismus,1
EL,Egils Levits,NA,Politik,1
AB,Annalena Baerbock,GREEN,Politik,1
FT,Frans Timmermans,NA,Politik,2
AM,Andrij Melnyk,NA,Politik,1
AGL,Alexander Graf Lambsdorff,NA,Politik,1
ER,Egon Ramms,NA,Millitary,1
RH,Robert Habeck,GREEN,Politik,1
CM,Claudia Major,NA,Wissenschaft,1
KP,Katja Petrowskaja,NA,Journalismus,1
RK,Roderich Kiesewetter,CDU,Politik,1
CL,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,NA,Wissenschaft,2
CH,Christoph Heusgen,NA,Politik,2
MW,Marina Weisband,GREEN,Politik,1
OS,Olaf Scholz,SPD,Politik,1
